Month,Airline,Passengers
2024-01,Air India,125000
2024-02,Air India,132000
2024-03,Air India,142500
2024-04,Air India,150800
2024-05,Air India,158600
2024-06,Air India,164200
2024-07,Air India,171000
2024-08,Air India,169300
2024-09,Air India,160800
2024-10,Air India,155200
2024-11,Air India,148500
2024-12,Air India,152000
2024-01,IndiGo,112000
2024-02,IndiGo,121300
2024-03,IndiGo,134200
2024-04,IndiGo,145000
2024-05,IndiGo,152400
2024-06,IndiGo,158900
2024-07,IndiGo,162300
2024-08,IndiGo,160000
2024-09,IndiGo,155600
2024-10,IndiGo,150200
2024-11,IndiGo,143900
2024-12,IndiGo,147500
2024-01,SpiceJet,98000
2024-02,SpiceJet,104500
2024-03,SpiceJet,115600
2024-04,SpiceJet,123800
2024-05,SpiceJet,129900
2024-06,SpiceJet,134200
2024-07,SpiceJet,138000
2024-08,SpiceJet,137300
2024-09,SpiceJet,132800
2024-10,SpiceJet,128500
2024-11,SpiceJet,122000
2024-12,SpiceJet,124300
