Week,Maharashtra,Kerala,Karnataka,Delhi,Tamil Nadu
1,150,100,80,200,120
2,450,300,210,600,400
3,1200,800,600,1500,900
4,3100,1900,1600,3400,2200
5,7200,4100,3800,6900,5100
6,12500,6400,5900,11000,8500
7,18200,9500,8800,15600,11900
8,25500,14300,13100,19800,15600
9,33000,20100,17600,24300,20100
10,42000,27000,22300,31000,25900
11,49500,33200,28400,35500,30000
12,55500,39400,33800,40100,34300
13,62000,46000,39800,44200,38600
14,71000,54000,45500,49800,43000
15,78000,61000,50500,54000,47100
16,86000,68000,56500,59800,51000
17,93500,74000,61000,63500,55000
18,101000,80000,66000,67800,59300
19,108500,87000,72000,73000,63500
20,116000,94000,77000,78000,67800
21,123000,100000,81500,82000,71000
22,129500,106000,86000,86000,74500
23,135000,112000,91000,89000,77500
24,140000,118000,95000,92000,80000
25,145000,122000,98000,94000,82000
26,149000,126000,101000,96000,84500
27,152000,129000,103500,97500,86500
28,155000,131000,105000,99000,88000
29,157000,133000,106000,100000,89500
30,158500,134000,107000,100500,90500
31,160000,135000,108000,101000,91500
32,161000,136000,109000,101500,92500
33,162000,137000,110000,102000,93500
34,163000,138000,111000,102500,94500
35,164000,139000,112000,103000,95500
36,165000,140000,113000,103500,96500
37,163000,139000,111500,102000,95000
38,160000,136000,110000,100000,93000
39,155000,132000,107000,97000,90000
40,150000,127000,104000,93000,87000
41,142000,120000,99000,89000,84000
42,135000,113000,94000,85000,81000
43,128000,106000,89000,80000,77000
44,120000,98000,84000,76000,73000
45,112000,90000,78000,71000,69000
46,105000,83000,74000,67000,66000
47,99000,76000,70000,63000,63000
48,95000,70000,67000,59000,60000
49,91000,65000,63000,56000,57000
50,97000,71000,67000,61000,62000
51,105000,78000,72000,67000,68000
52,115000,85000,78000,74000,75000
